Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist
LaLiga ,13,10/11/13,Away,FC Barcelona,Real Betis Balompié,1:4,LW,36',0:1,Right-footed shot,Cesc Fàbregas
Champions League ,Gruppenphase,11/12/13,Home,FC Barcelona,Celtic FC,6:1,CF,45',3:0,Right-footed shot,Martín Montoya
Champions League ,Gruppenphase,11/12/13,Home,FC Barcelona,Celtic FC,6:1,CF,48',4:0,Left-footed shot,Xavi
Champions League ,Gruppenphase,11/12/13,Home,FC Barcelona,Celtic FC,6:1,CF,58',5:0,Right-footed shot,Adriano
LaLiga ,16,14/12/13,Home,FC Barcelona,Villarreal CF,2:1,LW,30',1:0,Penalty,Not Applicable
LaLiga ,16,14/12/13,Home,FC Barcelona,Villarreal CF,2:1,LW,68',2:1,Right-footed shot,Alexis Sánchez
Copa del Rey ,4.Runde,17/12/13,Home,FC Barcelona,FC Cartagena,3:0,CF,87',3:0,Header,Andrés Iniesta
LaLiga ,24,15/02/14,Home,FC Barcelona,Rayo Vallecano,6:0,Not Applicable,89',6:0,Right-footed shot,Andrés Iniesta
LaLiga ,30,26/03/14,Home,FC Barcelona,Celta de Vigo,3:0,LW,6',1:0,Right-footed shot,Alexis Sánchez
LaLiga ,30,26/03/14,Home,FC Barcelona,Celta de Vigo,3:0,LW,67',3:0,Left-footed shot,Alexis Sánchez
Champions League ,Viertelfinale,01/04/14,Home,FC Barcelona,Atlético de Madrid,1:1,CF,71',1:1,Right-footed shot,Andrés Iniesta
LaLiga ,3,13/09/14,Home,FC Barcelona,Athletic Bilbao,2:0,Not Applicable,79',1:0,Left-footed shot,Lionel Messi
LaLiga ,3,13/09/14,Home,FC Barcelona,Athletic Bilbao,2:0,Not Applicable,84',2:0,Right-footed shot,Lionel Messi
LaLiga ,4,21/09/14,Away,FC Barcelona,Levante UD,0:5,LW,34',0:1,Right-footed shot,Lionel Messi
LaLiga ,6,27/09/14,Home,FC Barcelona,Granada CF,6:0,LW,26',1:0,Deflected shot on goal,Not Applicable
LaLiga ,6,27/09/14,Home,FC Barcelona,Granada CF,6:0,LW,45',3:0,Tap-in,Not Applicable
LaLiga ,6,27/09/14,Home,FC Barcelona,Granada CF,6:0,LW,66',5:0,Right-footed shot,Lionel Messi
Champions League ,Gruppenphase,30/09/14,Away,FC Barcelona,Paris Saint-Germain,3:2,CF,56',3:2,Right-footed shot,Dani Alves
LaLiga ,7,04/10/14,Away,FC Barcelona,Rayo Vallecano,0:2,LW,36',0:2,Right-footed shot,Munir El Haddadi
LaLiga ,8,18/10/14,Home,FC Barcelona,SD Eibar,3:0,LW,72',2:0,Right-footed shot,Dani Alves
Champions League ,Gruppenphase,21/10/14,Home,FC Barcelona,Ajax Amsterdam,3:1,LW,8',1:0,Right-footed shot,Lionel Messi
LaLiga ,9,25/10/14,Away,FC Barcelona,Real Madrid,3:1,LW,4',0:1,Right-footed shot,Luis Suárez
LaLiga ,11,08/11/14,Away,FC Barcelona,UD Almería,1:2,LW,73',1:1,Deflected shot on goal,Luis Suárez
LaLiga ,12,22/11/14,Home,FC Barcelona,Sevilla FC,5:1,LW,49',2:1,Header,Xavi
Champions League ,Gruppenphase,10/12/14,Home,FC Barcelona,Paris Saint-Germain,3:1,LW,41',2:1,Right-footed shot,Andrés Iniesta
Copa del Rey ,Achtelfinale,08/01/15,Home,FC Barcelona,Elche CF,5:0,LW,34',1:0,Right-footed shot,Luis Suárez
Copa del Rey ,Achtelfinale,08/01/15,Home,FC Barcelona,Elche CF,5:0,LW,59',5:0,Right-footed shot,Lionel Messi
LaLiga ,18,11/01/15,Home,FC Barcelona,Atlético de Madrid,3:1,LW,12',1:0,Left-footed shot,Luis Suárez
LaLiga ,20,24/01/15,Away,FC Barcelona,Elche CF,0:6,LW,69',0:3,Right-footed shot,Lionel Messi
LaLiga ,20,24/01/15,Away,FC Barcelona,Elche CF,0:6,LW,71',0:4,Right-footed shot,Lionel Messi
Copa del Rey ,Viertelfinale,28/01/15,Away,FC Barcelona,Atlético de Madrid,2:3,LW,9',1:1,Right-footed shot,Luis Suárez
Copa del Rey ,Viertelfinale,28/01/15,Away,FC Barcelona,Atlético de Madrid,2:3,LW,41',2:3,Right-footed shot,Jordi Alba
LaLiga ,21,01/02/15,Home,FC Barcelona,Villarreal CF,3:2,LW,45',1:1,Tap-in,Not Applicable
LaLiga ,22,08/02/15,Away,FC Barcelona,Athletic Bilbao,2:5,LW,65',1:4,Right-footed shot,Lionel Messi
LaLiga ,23,15/02/15,Home,FC Barcelona,Levante UD,5:0,LW,17',1:0,Right-footed shot,Lionel Messi
Copa del Rey ,Halbfinale,04/03/15,Away,FC Barcelona,Villarreal CF,1:3,LW,4',0:1,Left-footed shot,Lionel Messi
Copa del Rey ,Halbfinale,04/03/15,Away,FC Barcelona,Villarreal CF,1:3,LW,88',1:3,Header,Xavi
LaLiga ,31,11/04/15,Away,FC Barcelona,Sevilla FC,2:2,LW,31',0:2,Direct free kick,Not Applicable
Champions League ,Viertelfinale,15/04/15,Away,FC Barcelona,Paris Saint-Germain,1:3,LW,18',0:1,Right-footed shot,Lionel Messi
Champions League ,Viertelfinale,21/04/15,Home,FC Barcelona,Paris Saint-Germain,2:0,LW,14',1:0,Right-footed shot,Andrés Iniesta
Champions League ,Viertelfinale,21/04/15,Home,FC Barcelona,Paris Saint-Germain,2:0,LW,34',2:0,Header,Dani Alves
LaLiga ,33,25/04/15,Away,FC Barcelona,RCD Espanyol Barcelona,0:2,LW,17',0:1,Right-footed shot,Jordi Alba
LaLiga ,34,28/04/15,Home,FC Barcelona,Getafe CF,6:0,LW,28',3:0,Right-footed shot,Luis Suárez
LaLiga ,35,02/05/15,Away,FC Barcelona,Córdoba CF,0:8,LW,85',0:7,Penalty,Not Applicable
